Date,Rating
"Dined on March 29, 2025",4.3 stars
"Dined on March 27, 2025",4.3 stars
"Dined on March 24, 2025",4.1 stars
"Dined on March 20, 2025",4.8 stars
"Dined on March 16, 2025",4.3 stars
"Dined on March 15, 2025",4.8 stars
"Dined on March 14, 2025",4.1 stars
"Dined on March 9, 2025",4.8 stars
"Dined on March 7, 2025",4.4 stars
"Dined on March 6, 2025",4.6 stars
"Dined on February 18, 2025",4.3 stars
"Dined on February 15, 2025",4.3 stars
"Dined on February 15, 2025",4.1 stars
"Dined on February 9, 2025",4.8 stars
"Dined on February 2, 2025",4.3 stars
"Dined on February 1, 2025",4.8 stars
"Dined on January 25, 2025",4.1 stars
"Dined on January 19, 2025",4.8 stars
"Dined on January 18, 2025",4.4 stars
"Dined on January 18, 2025",4.6 stars
"Dined on January 17, 2025",4.3 stars
"Dined on January 12, 2025",4.3 stars
"Dined on January 12, 2025",4.1 stars
"Dined on January 11, 2025",4.8 stars
"Dined on January 5, 2025",4.3 stars
"Dined on January 3, 2025",4.8 stars
"Dined on January 3, 2025",4.1 stars
"Dined on January 3, 2025",4.8 stars
