Date_x,Rating,Clean_Date,Location,NumericRating,City,Date_y,Temp Max (°F),Temp Min (°F),Avg Temp (°F),Feels Like Temp (°F),Humidity (%),Precipitation (in),Snow (in),Snow Depth (in),Wind Speed (mph),Cloud Cover (%),Visibility (mi),UV Index,Severe Weather Risk,Conditions
"Dined on March 29, 2025",4.3 stars,2025-03-29,Starbucks Reserve,4.0,Chicago Illinois,2025-03-29,69.4,47.2,62.4,62.2,70.2,0.034,0.0,0.0,22.0,84.1,9.1,5,10,"Rain, Partially cloudy"
"Dined on March 27, 2025",4.3 stars,2025-03-27,Starbucks Reserve,4.0,Chicago Illinois,2025-03-27,54.7,43.5,49.3,47.8,56.1,0.0,0.0,0.0,13.9,97.5,9.9,2,10,Overcast
"Dined on March 24, 2025",4.1 stars,2025-03-24,Starbucks Reserve,4.0,Chicago Illinois,2025-03-24,49.5,34.7,41.3,33.0,50.1,0.0,0.0,0.0,23.6,75.2,9.9,4,10,Partially cloudy
"Dined on March 22, 2025",4.6 stars,2025-03-22,Café Con Leche,4.0,Chicago Illinois,2025-03-22,51.5,34.6,40.8,34.7,55.9,0.0,0.0,0.0,17.4,52.7,9.9,6,10,Partially cloudy
"Dined on March 20, 2025",4.8 stars,2025-03-20,Starbucks Reserve,4.0,Chicago Illinois,2025-03-20,44.1,31.6,36.9,28.6,66.7,0.174,0.7,0.2,23.4,66.6,8.0,6,10,"Snow, Rain, Partially cloudy"
"Dined on March 16, 2025",4.3 stars,2025-03-16,Starbucks Reserve,4.0,Chicago Illinois,2025-03-16,43.4,30.2,35.5,28.2,75.9,0.15,0.8,0.2,14.3,84.4,7.9,1,10,"Snow, Rain, Partially cloudy"
"Dined on March 15, 2025",4.8 stars,2025-03-15,Starbucks Reserve,4.0,Chicago Illinois,2025-03-15,72.0,44.6,58.5,57.9,63.0,0.498,0.0,0.0,27.8,88.5,8.5,4,10,"Rain, Partially cloudy"
"Dined on March 14, 2025",3.6 stars,2025-03-14,Café Con Leche,3.0,Chicago Illinois,2025-03-14,79.4,48.6,64.5,63.9,48.5,0.0,0.0,0.0,25.1,57.3,9.9,6,10,Partially cloudy
"Dined on March 14, 2025",4.1 stars,2025-03-14,Starbucks Reserve,4.0,Chicago Illinois,2025-03-14,79.4,48.6,64.5,63.9,48.5,0.0,0.0,0.0,25.1,57.3,9.9,6,10,Partially cloudy
"Dined on March 9, 2025",4.8 stars,2025-03-09,Starbucks Reserve,4.0,Chicago Illinois,2025-03-09,58.5,34.6,47.1,44.7,51.5,0.0,0.0,0.0,17.2,32.1,9.9,7,10,Partially cloudy
"Dined on March 7, 2025",4.4 stars,2025-03-07,Starbucks Reserve,4.0,Chicago Illinois,2025-03-07,38.9,34.2,36.1,32.3,76.4,0.107,0.2,0.1,7.4,95.0,7.2,1,10,"Snow, Overcast"
"Dined on March 6, 2025",4.6 stars,2025-03-06,Starbucks Reserve,4.0,Chicago Illinois,2025-03-06,41.8,28.7,34.4,25.8,53.9,0.0,0.1,0.0,20.9,40.6,9.9,7,10,Partially cloudy
"Dined on February 18, 2025",4.3 stars,2025-02-18,Starbucks Reserve,4.0,Chicago Illinois,2025-02-18,15.1,-3.1,5.6,-8.5,46.2,0.0,0.0,2.2,12.8,60.6,9.9,6,10,Partially cloudy
"Dined on February 15, 2025",4.3 stars,2025-02-15,Starbucks Reserve,4.0,Chicago Illinois,2025-02-15,34.3,27.4,31.4,25.3,74.6,0.004,1.7,2.5,21.1,100.0,8.8,1,10,"Snow, Rain, Overcast"
"Dined on February 15, 2025",4.1 stars,2025-02-15,Starbucks Reserve,4.0,Chicago Illinois,2025-02-15,34.3,27.4,31.4,25.3,74.6,0.004,1.7,2.5,21.1,100.0,8.8,1,10,"Snow, Rain, Overcast"
"Dined on February 14, 2025",4.7 stars,2025-02-14,Café Con Leche,4.0,Chicago Illinois,2025-02-14,25.9,5.2,16.3,5.8,60.9,0.057,2.3,1.5,13.7,70.1,8.8,3,10,"Snow, Partially cloudy"
"Dined on February 14, 2025",4.8 stars,2025-02-14,Café Con Leche,4.0,Chicago Illinois,2025-02-14,25.9,5.2,16.3,5.8,60.9,0.057,2.3,1.5,13.7,70.1,8.8,3,10,"Snow, Partially cloudy"
"Dined on February 14, 2025",4.4 stars,2025-02-14,Café Con Leche,4.0,Chicago Illinois,2025-02-14,25.9,5.2,16.3,5.8,60.9,0.057,2.3,1.5,13.7,70.1,8.8,3,10,"Snow, Partially cloudy"
"Dined on February 14, 2025",4.3 stars,2025-02-14,Café Con Leche,4.0,Chicago Illinois,2025-02-14,25.9,5.2,16.3,5.8,60.9,0.057,2.3,1.5,13.7,70.1,8.8,3,10,"Snow, Partially cloudy"
"Dined on February 9, 2025",4.8 stars,2025-02-09,Starbucks Reserve,4.0,Chicago Illinois,2025-02-09,32.1,23.8,27.8,19.8,58.1,0.0,0.1,0.0,14.6,67.5,9.9,4,10,Partially cloudy
"Dined on February 8, 2025",4.4 stars,2025-02-08,Café Con Leche,4.0,Chicago Illinois,2025-02-08,33.2,28.1,31.0,23.4,64.0,0.003,0.4,0.0,12.7,99.4,9.0,1,10,"Snow, Rain, Overcast"
"Dined on February 2, 2025",4.3 stars,2025-02-02,Starbucks Reserve,4.0,Chicago Illinois,2025-02-02,44.0,31.7,38.7,33.1,76.5,0.0,0.2,0.5,15.3,97.0,9.5,2,10,Overcast
"Dined on February 2, 2025",4.8 stars,2025-02-02,Café Con Leche,4.0,Chicago Illinois,2025-02-02,44.0,31.7,38.7,33.1,76.5,0.0,0.2,0.5,15.3,97.0,9.5,2,10,Overcast
