Date,Rating
"Dined on March 27, 2025",3 stars
"Dined on March 15, 2025",5 stars
"Dined on March 9, 2025",2 stars
"Dined on March 8, 2025",5 stars
"Dined on March 8, 2025",5 stars
"Dined on March 8, 2025",4 stars
"Dined on March 7, 2025",3 stars
"Dined on March 2, 2025",4.2 stars
"Dined on March 1, 2025",4.2 stars
"Dined on February 23, 2025",4 stars
"Dined on February 23, 2025",5 stars
"Dined on February 22, 2025",4 stars
"Dined on February 22, 2025",5 stars
"Dined on February 22, 2025",5 stars
"Dined on February 22, 2025",1 star
"Dined on February 16, 2025",5 stars
"Dined on February 14, 2025",1 star
"Dined on February 8, 2025",4.2 stars
"Dined on February 5, 2025",4.2 stars
"Dined on February 2, 2025",5 stars
"Dined on January 18, 2025",5 stars
"Dined on January 5, 2025",1 star
"Dined on January 5, 2025",5 stars
"Dined on January 4, 2025",2 stars
"Dined on December 28, 2024",2 stars
"Dined on December 28, 2024",4 stars
"Dined on December 28, 2024",4 stars
"Dined on December 27, 2024",4.2 stars
"Dined on December 26, 2024",4.2 stars
"Dined on December 25, 2024",3 stars
"Dined on December 24, 2024",5 stars
"Dined on December 22, 2024",1 star
"Dined on December 22, 2024",4 stars
"Dined on December 22, 2024",5 stars
"Dined on December 21, 2024",5 stars
"Dined on December 14, 2024",2 stars
"Dined on December 14, 2024",5 stars
"Dined on December 13, 2024",4.2 stars
"Dined on December 13, 2024",4.2 stars
"Dined on December 7, 2024",3 stars
"Dined on December 6, 2024",5 stars
"Dined on December 3, 2024",2 stars
"Dined on November 30, 2024",1 star
"Dined on November 29, 2024",4 stars
"Dined on November 28, 2024",3 stars
"Dined on November 26, 2024",4 stars
"Dined on November 24, 2024",5 stars
"Dined on November 24, 2024",4.2 stars
"Dined on November 23, 2024",4.2 stars
"Dined on November 23, 2024",2 stars
"Dined on November 16, 2024",1 star
"Dined on November 16, 2024",1 star
"Dined on November 14, 2024",5 stars
"Dined on November 7, 2024",5 stars
"Dined on November 2, 2024",5 stars
"Dined on October 28, 2024",5 stars
"Dined on October 26, 2024",1 star
"Dined on October 21, 2024",4.2 stars
"Dined on October 20, 2024",4.2 stars
"Dined on October 20, 2024",4 stars
"Dined on October 20, 2024",5 stars
"Dined on October 19, 2024",5 stars
"Dined on October 3, 2024",4 stars
"Dined on September 28, 2024",5 stars
"Dined on September 21, 2024",5 stars
"Dined on September 21, 2024",5 stars
"Dined on September 17, 2024",1 star
"Dined on September 14, 2024",4.2 stars
"Dined on September 12, 2024",4.2 stars
"Dined on September 11, 2024",5 stars
"Dined on September 2, 2024",4 stars
"Dined on September 1, 2024",4 stars
"Dined on September 1, 2024",5 stars
"Dined on September 1, 2024",4 stars
"Dined on August 31, 2024",1 star
"Dined on August 31, 2024",4 stars
"Dined on August 31, 2024",1 star
"Dined on August 31, 2024",4.2 stars
"Dined on August 26, 2024",4.2 stars
"Dined on August 25, 2024",4 stars
"Dined on August 25, 2024",1 star
"Dined on August 24, 2024",4 stars
"Dined on August 24, 2024",5 stars
"Dined on August 24, 2024",5 stars
"Dined on August 24, 2024",5 stars
"Dined on August 24, 2024",4 stars
"Dined on August 23, 2024",5 stars
